date,capital_at_risk,risk_premium,high_debt,medium_debt,low_debt,total_debt,share_vaults_protected,total_debt_car,collateralization_ratio,liq_score,liq_score_debt_exposure,vault_type
2022-01-01,84204272,3.0,71310823.174516,60368750.357478,231134473.5434364,2806809074.0,0.87,362814047.0754304,269.04,21.0,3520596134.0,ETH-A
2022-01-02,75840663,2.7,60325171.96824,63684069.8945305,231658011.75356182,2808913449.0,0.87,355667253.6163323,273.0,21.0,3526104100.0,ETH-A
2022-01-03,70185961,2.5,55801160.696324,70041828.894743,230650516.70395002,2807438442.0,0.87,356493506.295017,269.12,21.0,3526481267.0,ETH-A
2022-01-04,70259948,2.5,62223821.786788,68082745.2975355,230934090.6324155,2810397920.0,0.87,361240657.716739,270.52,21.0,3527765103.0,ETH-A
2022-01-05,67467589,2.4,60978184.708569,67789225.111135,230850157.7794682,2811149556.0,0.87,359617567.59917223,257.56,20.0,3478779942.0,ETH-A
2022-01-06,77058056,2.8,77007201.757171,66619750.7486475,226361681.94841412,2752073463.0,0.87,369988634.45423263,249.78,21.0,3441182373.0,ETH-A
2022-01-07,125422228,4.6,83600325.112479,56862231.964535,225431910.5383326,2726570181.0,0.87,365894467.6153466,240.69,21.0,3387521884.0,ETH-A
2022-01-08,124082090,4.6,79016507.538965,54887716.888048,223079837.95310912,2697436748.0,0.87,356984062.3801221,230.98,21.0,3379347290.0,ETH-A
2022-01-09,126516237,4.7,82808944.173105,57554659.62013,223653322.3645747,2691834832.0,0.86,364016926.15780973,244.93,21.0,3290851522.0,ETH-A
2022-01-10,97855243,3.7,77011259.857176,57916846.578702,218459310.26927772,2644736307.0,0.87,353387416.70515573,236.85,21.0,3272559735.0,ETH-A
2022-01-11,102392140,3.9,75823555.308127,59358942.407575,217145208.19048262,2625439504.0,0.87,352327705.9061846,250.46,21.0,3264499680.0,ETH-A
2022-01-12,63017160,2.4,46693056.397366,62738475.0824655,216975451.949424,2625715007.0,0.88,326406983.4292555,260.16,22.0,3270448108.0,ETH-A
2022-01-13,50002796,1.9,34999551.753839,64906084.916066,217511286.06613243,2631726145.0,0.88,317416922.73603743,256.32,22.0,3245625561.0,ETH-A
2022-01-14,54692867,2.1,49681977.227964,61460387.558009,214560066.58046383,2604422276.0,0.87,325702431.36643684,255.56,22.0,3248058914.0,ETH-A
2022-01-15,57354424,2.2,41028064.932804,64584259.8697215,214631091.3255855,2607019276.0,0.88,320243416.128111,260.86,22.0,3248781074.0,ETH-A
2022-01-16,49528032,1.9,38671971.352349,64297077.712685,214738781.5219801,2606738552.0,0.88,317707830.58701414,263.31,23.0,3249537193.0,ETH-A
2022-01-17,49523936,1.9,35260619.622565,66055417.2946435,214892824.85368592,2606522992.0,0.88,316208861.7708944,245.76,22.0,3257602130.0,ETH-A
2022-01-18,57309228,2.2,48708817.260252,66480021.558126,215639934.8192785,2604964953.0,0.87,330828773.6376565,245.96,21.0,3253458166.0,ETH-A
2022-01-19,72721911,2.8,50950819.139032,62770693.0977625,215440042.58055592,2597211120.0,0.87,329161554.8173504,243.81,21.0,3243802572.0,ETH-A
2022-01-20,82849613,3.2,52181316.873342,65777914.373655,213974401.46204522,2589050410.0,0.87,331933632.7090422,244.53,21.0,3232522223.0,ETH-A
